# Inputs
# - sttic: number of `static` items
# - root_: number of uninlined function items
# - inlnd: number of inlined function items
# - bb___: number of basic blocks
# - ssd__: number of `SourceScopeData`s
# - stmt_: number of statements
# - term_: number of `Terminator`s; equal to bb___ (one terminator per basic block)
# - a_msg: number of assert messages
# - rval_: number of MIR `Rvalue`s
# - place: number of MIR `Place`s
# - proj_: number of MIR projections
# - proje: number of MIR projection elems
# - const: number of MIR constants
# - ty_cn: number of MIR `TyConst`s
# - ty___: number of MIR `Ty`s
# - regn_: number of MIR regions
# - args_: number of `GenericArgsRef`s
# - lc_dc: number of `LocalDecls`
# - vdi__: number of `VarDebugInfo`s
# - local: number of MIR locations(?)
# - argc_: number of function arguments
#
# Note: there will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for release builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic root_ inlnd bb___ ssd__ stmt_ term_ a_msg rval_ place proj_ proje const ty_cn ty___ regn_ args_ lc_dc vdi__ local argc_ est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-html5ever.edf61c2f83702124-cgu.0________     0    16    43   528  1007  2913   528    19  1157  3854  3854   627   468     0  2392    67   615  1314   974  5671   118  3441   133.2     5.5    63.2    64.4
CGU-html5ever.edf61c2f83702124-cgu.1________     0    16    53   435   776  2656   435     3  1010  3387  3387   671   494     5  2413    87   550  1230   839  5097   101  3091   111.4     4.4    59.4    47.7
CGU-html5ever.edf61c2f83702124-cgu.2________     0    20    45   471  1177  2430   471     4   947  3265  3265   745   382     0  2296    42   834  1154  1018  4802   103  2901   100.5     3.2    60.2    37.2
CGU-html5ever.edf61c2f83702124-cgu.3________     0    34    42   582   519  1646   582     0   775  2212  2212   473   454     4  1749    63   287   812   438  3159   102  2228    88.7     3.5    48.1    37.2
CGU-html5ever.edf61c2f83702124-cgu.4________     5    18    38   407   681  1732   407     1   684  2341  2341   673   328    47  1664    49   442   817   714  3444    79  2144   103.3     2.9    53.2    47.2
CGU-html5ever.edf61c2f83702124-cgu.5________     0    28    31   394   649  1612   394     0   672  2101  2101   556   329     0  1635    30   405   769   574  3092    85  2006    74.3     3.8    30.7    39.8
CGU-hyper.9f152cce24eeb574-cgu.0____________   371   722   861 13613 19477 64608 13613    64 25703 80499 80499 19924 12853    31 61503  2057 14889 30508 18821 120535  2343 78592  2206.3    94.1  2112.2     0.0
CGU-image.5a9118bb0f279d0b-cgu.00___________     0   328   383  7765 12686 39108  7765     6 14184 52449 52449  7496  6188     0 32728  1163  7687 18594 12150 78073  1466 46873  2384.7    46.5  1746.8   591.5
CGU-image.5a9118bb0f279d0b-cgu.01___________     0   199   378 10209 12063 34935 10209    62 15156 49520 49520 13458  5247    12 29640   948  8321 16358 11330 69837  1136 45144  2960.9    56.8  1656.5  1247.5
CGU-image.5a9118bb0f279d0b-cgu.02___________    29   155   469  8035 10387 33765  8035    82 13148 42055 42055  7823  6127   133 27637  1118  7315 14962 10024 63329  1074 41829  1995.9    49.8  1216.4   729.6
CGU-image.5a9118bb0f279d0b-cgu.03___________     0   242   524 10038  9762 30633 10038    43 12547 41522 41522 12027  4953     8 26633  1005  6939 14059  8922 60374  1000 40671  2871.1    62.0  1975.7   833.4
CGU-image.5a9118bb0f279d0b-cgu.04___________     0   291   417  8706 11153 31839  8706    73 12160 41971 41971  7917  5457    43 26485   994  8094 14526 10471 62386  1324 40545  2412.1    49.1  1629.8   733.3
CGU-image.5a9118bb0f279d0b-cgu.05___________     0   462   616  9685  7553 30759  9685    22 11813 40820 40820  6951  5901     0 27076  1200  4643 15268  8382 60844  1701 40444  2577.2    60.1  1639.6   877.5
CGU-image.5a9118bb0f279d0b-cgu.06___________    14   257   980  8714  8704 29737  8714   101 12181 39815 39815  9311  5150     8 27807   949  4892 15082  8778 58680  2344 38465  1741.4    60.2   902.7   778.5
CGU-image.5a9118bb0f279d0b-cgu.07___________     0   222   404  7943 10035 30519  7943   142 12201 41270 41270  8985  4913    34 25846   801  7220 13830  9959 60334  1060 38462  3509.2    55.3  2333.4  1120.4
CGU-image.5a9118bb0f279d0b-cgu.08___________     5   301   276  7728  9390 30728  7728    88 12080 39216 39216  8562  4840    34 24988  1019  6709 13613  9151 58431   950 38461  1941.0    57.0  1170.3   713.8
CGU-image.5a9118bb0f279d0b-cgu.09___________     0   432   406  7064 15187 31397  7064    13 11828 42129 42129  9029  4922     0 28767   750 10647 15037 12812 62514  1393 38461  1334.7    56.2   717.5   560.9
CGU-image.5a9118bb0f279d0b-cgu.10___________     0   485   453  7689  8599 30772  7689   242 12039 40731 40731  8917  5420    50 26720  1218  5319 15072  8755 60472  1627 38461  2164.5    50.0  1318.2   796.4
CGU-image.5a9118bb0f279d0b-cgu.11___________     1   402   361  8789  9955 29671  8789    96 11930 39913 39913  8467  5491    80 26705   884  7320 13917  9300 58398  1071 38461  2543.6    56.8  1783.0   703.8
CGU-image.5a9118bb0f279d0b-cgu.12___________     2   320   393  7265 10214 31193  7265    76 12614 42265 42265  9613  5254    45 27352   857  7280 14649 10838 61565  1368 38460  2082.8    47.0  1214.8   821.1
CGU-image.5a9118bb0f279d0b-cgu.13___________    16   309   323  7407  9651 31036  7407   256 12403 40920 40920  7920  6426    41 26927   940  6909 14125  9591 60374  1057 38459  2615.2    49.7  1558.6  1006.8
CGU-image.5a9118bb0f279d0b-cgu.14___________     0   509   649  7676 11603 30783  7676    16 11989 42371 42371  9714  5826     3 29970   908  7876 15592 11611 62337  1708 38459  1827.7    72.0  1030.7   725.0
CGU-image.5a9118bb0f279d0b-cgu.15___________     0   200   572  8358 11211 30100  8358    21 12146 40257 40257 11401  5150    12 28121   870  8128 14281 10172 58980  1192 38458  2265.7    54.2  1228.7   982.7
CGU-libc.e0920bbcf513ab54-cgu.0_____________     0   198     0   203   198   219   203     0   199   606   606   209     5     0   626     1     0   407   198   824   198   422    82.1     3.2    63.7    15.3
CGU-regex.f10ba03eb5ec7975-cgu.00___________     0   184    25  2032  6201 11220  2032     1  4210 14965 14965  2033  1383     0  9146   185  4533  5168  4848 22161   431 13252   386.1    36.4   208.7   141.0
CGU-regex.f10ba03eb5ec7975-cgu.01___________     0   156   265  2165  3902  8737  2165    14  3409 12542 12542  3258  1391     0  8974   286  2705  4622  3731 18328   543 10902   830.0    49.2   573.4   207.4
CGU-regex.f10ba03eb5ec7975-cgu.02___________     0    62   266  2267  2451  7726  2267    17  3071 10577 10577  3502  1229     2  7841   380  1633  3951  2201 15566   486  9993  2323.2    38.7  1666.2   618.3
CGU-regex.f10ba03eb5ec7975-cgu.03___________     0    72   182  2126  2252  6910  2126    14  2847  9590  9590  2583  1216     1  6852   294  1543  3544  1990 13913   359  9036   994.4    32.8   683.6   278.0
CGU-regex.f10ba03eb5ec7975-cgu.04___________     0   115   129  1644  2364  7010  1644    21  2683  9236  9236  2351  1422     7  6821   277  1576  3415  2405 13823   399  8654   657.1    33.0   418.5   205.7
CGU-regex.f10ba03eb5ec7975-cgu.05___________     0    88   168  1640  2537  6864  1640    14  2659  9044  9044  2073  1327     6  6612   286  1726  3381  2461 13502   359  8504   675.1    34.3   469.2   171.6
CGU-regex.f10ba03eb5ec7975-cgu.06___________     2    63   215  1779  2371  6641  1779    16  2626  9128  9128  2160  1149     1  6549   261  1446  3500  2181 13445   513  8422   624.6    47.0   406.2   171.3
CGU-regex.f10ba03eb5ec7975-cgu.07___________     0    87   179  1601  2125  6358  1601     9  2527  8808  8808  2222   975     0  6144   293  1450  3240  2126 12906   439  7959  1237.2    35.4   810.9   390.9
