# Inputs
# - sttic: number of `static` items
# - root_: number of uninlined function items
# - inlnd: number of inlined function items
# - bb___: number of basic blocks
# - ssd__: number of `SourceScopeData`s
# - stmt_: number of statements
# - term_: number of `Terminator`s; equal to bb___ (one terminator per basic block)
# - a_msg: number of assert messages
# - rval_: number of MIR `Rvalue`s
# - place: number of MIR `Place`s
# - proj_: number of MIR projections
# - proje: number of MIR projection elems
# - const: number of MIR constants
# - ty_cn: number of MIR `TyConst`s
# - ty___: number of MIR `Ty`s
# - regn_: number of MIR regions
# - args_: number of `GenericArgsRef`s
# - lc_dc: number of `LocalDecls`
# - vdi__: number of `VarDebugInfo`s
# - local: number of MIR locations(?)
# - argc_: number of function arguments
#
# Note: there will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for release builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic root_ inlnd bb___ ssd__ stmt_ term_ a_msg rval_ place proj_ proje const ty_cn ty___ regn_ args_ lc_dc vdi__ local argc_ est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-hyper.f95cdac0e4971901-cgu.15___________     0    50     5   409   560  1470   409     0   599  2021  2021   395   338     0  1413    52   352   703   593  2946   115  1879    42.6    11.1    31.4     0.0
CGU-image.1979fc92a28f75f3-cgu.00___________     0   715     4  4393  5848 16649  4393    56  6757 24564 24564  5188  2841     1 16839   733  3885  9281  5931 35188  1364 21042   434.7   103.6   331.1     0.0
CGU-image.1979fc92a28f75f3-cgu.01___________     2   808    84  9130  4655 11910  9130  1064 10746 37929 37929  6964  7634    21 26510  1039  1398 14659  4180 40642  1408 21042   484.8    83.7   401.1     0.0
CGU-image.1979fc92a28f75f3-cgu.02___________    16   626    45  7641  4506 13384  7641  1038 10178 35272 35272  7326  6077    60 24827  1294  2289 12931  4345 39381  1173 21041   486.8    90.8   396.0     0.0
CGU-image.1979fc92a28f75f3-cgu.03___________     0   514    35  7726  4149 13315  7726   394 10645 39553 39553  6190  6887     0 27505  1341  1759 15203  5130 42790  1296 21041   518.8    74.2   444.7     0.0
CGU-image.1979fc92a28f75f3-cgu.04___________     1   651    82  9157  4833 11883  9157   392 10749 38016 38016  6974  7224    29 26592  1373  1665 14557  4384 39998  1268 21041   620.7   111.2   509.5     0.0
CGU-image.1979fc92a28f75f3-cgu.05___________     0   774    43  7555  5841 13484  7555    47  7114 25391 25391  4338  4351    20 16817   758  2837  9293  4869 32591  1285 21039   493.5    71.0   422.4     0.0
CGU-image.1979fc92a28f75f3-cgu.06___________    29   459     4  4880  5048 16130  4880   211  8052 26561 26561  6189  3903    50 18107   761  3292  9705  5284 35159   831 21039   335.5    76.7   258.9     0.0
CGU-image.1979fc92a28f75f3-cgu.07___________     0   620    20  9422  4934 11617  9422   236 10267 35798 35798  6523  7425    19 24104  1328  1664 12415  4410 37830  1127 21039   602.6   107.2   495.4     0.0
CGU-image.1979fc92a28f75f3-cgu.08___________    14   419    13  8010  3646 13014  8010   895 10828 35680 35680  6508  6118   103 23934  1203  1840 13044  3439 38506   837 21038   518.2    85.7   432.5     0.0
CGU-image.1979fc92a28f75f3-cgu.09___________     0   421     3  5656  6681 15382  5656    27  8017 26972 26972  7666  3069     1 17849   743  4500  9620  5595 34766   928 21038   360.2    91.2   269.0     0.0
CGU-image.1979fc92a28f75f3-cgu.10___________     0   512    13  7007  4042 14031  7007   280  8574 29571 29571  3244  5165    32 19111   935  2395 10887  4416 35521   880 21038   452.9    75.4   377.5     0.0
CGU-image.1979fc92a28f75f3-cgu.11___________     5  1051    32  7220  4753 13813  7220   234  8990 29247 29247  6075  3942     8 19854   655  2749 11348  4709 35258  1474 21038   483.1    90.0   393.2     0.0
CGU-image.1979fc92a28f75f3-cgu.12___________     0  1898    71  9928  4190 11110  9928    65  7444 26699 26699  6797  4042     0 21836  1082  1673 12371  3684 32369  2823 21038   619.9   122.3   497.6     0.0
CGU-image.1979fc92a28f75f3-cgu.13___________     0   645     4  4190  6612 16847  4190    27  6796 24946 24946  5616  3910     2 18623   527  4502  9264  7114 35644  1019 21037   410.3   101.2   309.1     0.0
CGU-image.1979fc92a28f75f3-cgu.14___________     0   404     3  4221  4987 16816  4221    22  6668 20684 20684  2627  2606     0 13056   400  2260  7382  4575 31231   809 21037   276.2    63.5   212.7     0.0
CGU-image.1979fc92a28f75f3-cgu.15___________     0  1117    68  8759  4737 12278  8759   676 10022 37320 37320  6219  6338    28 27266  1269  2094 15238  5115 40941  2090 21037   640.3   106.7   533.6     0.0
