# Inputs
# - sttic: number of `static` items
# - rfn__: number of uninlined function items
#   - rbb__: number of basic blocks in uninlined functions
#     - rssd_: number of `SourceScopeData`s in uninlined functions
#     - rstmt: number of statements in uninlined functions
#       - rplac: number of MIR `Place`s in uninlined functions
#       - rproj: number of MIR projections in uninlined functions
#       - rcnst: number of MIR constants in uninlined functions
#     - rdecl: number of `LocalDecls` in uninlined functions
# - ifn__: number of inlined function items
#   - ibb__: number of basic blocks in inlined functions
#     - issd_: number of `SourceScopeData`s in inlined functions
#     - istmt: number of statements in inlined functions
#       - iplac: number of MIR `Place`s in inlined functions
#       - iproj: number of MIR projections in inlined functions
#       - icnst: number of MIR constants in inlined functions
#     - idecl: number of `LocalDecls` in inlined functions
#
# The nesting shows how things fit together. E.g. a function contains basic
# blocks, which contains statements, which contains places.
# There will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for opt builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic rfn__ ifn__ rbb__ ibb__ rssd_ issd_ rstmt istmt rplac iplac rproj iproj rcnst icnst rdecl idecl est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-serde_derive.d9066bcc32970824-cgu.01____     0   127     0   393     0   127     0   120     0   541     0   412     0    68     0   443     0  4399    44.9     7.3    37.6     0.0
CGU-serde_derive.d9066bcc32970824-cgu.02____     0    59     0   336     0   260     0   884     0  1401     0   301     0   251     0   580     0  3556    53.1     8.1    45.0     0.0
CGU-serde_derive.d9066bcc32970824-cgu.03____     0    46     1   188    10   495    27  1238    70  1646    79   507    14   146     9   591    27  3470    26.7     6.8    19.8     0.0
CGU-serde_derive.d9066bcc32970824-cgu.04____     0    51     3   261     6   377     5   960     7  1433    19   345     4   153     1   549    10  3265    29.4     7.0    22.4     0.0
CGU-serde_derive.d9066bcc32970824-cgu.05____     0    52     0   274     0   552     0  1422     0  1919     0   336     0   261     0   714     0  3262    32.8     7.3    25.6     0.0
CGU-serde_derive.d9066bcc32970824-cgu.06____     0    42     0   265     0   808     0  1326     0  1919     0   351     0   128     0   667     0  3259    49.6     9.9    39.7     0.0
CGU-serde_derive.d9066bcc32970824-cgu.07____     0    35     2   295    20   387    46   880   115  1348   131   240    23   199    18   454    45  3257    26.5     8.3    18.2     0.0
CGU-serde_derive.d9066bcc32970824-cgu.08____     0    35     0   275     0   376     0  1020     0  1345     0   330     0   173     0   476     0  3245    43.8     8.1    35.7     0.0
CGU-serde_derive.d9066bcc32970824-cgu.09____     1     7     2   252     2    57     6   243    20   903    22    59     0   213     2   372    10  2015    40.0     7.9    32.2     0.0
CGU-rand_chacha.4f5a5caa62e58b10-cgu.0______     0    19   181    99  1355    28   394    53  2196   307  7378    17   919   101  1717   149  3085 13922   233.9    10.7   223.3     0.0
CGU-rand_chacha.4f5a5caa62e58b10-cgu.1______     0    45    17   323    24    96    17   195    10  1011    63   151     6   244    16   444    40  3057    37.6     2.6    35.0     0.0
CGU-rand_chacha.4f5a5caa62e58b10-cgu.2______     0    75     0   303     0   180     0   807     0  1194     0   189     0   171     0   483     0  2877    27.4     3.6    23.8     0.0
CGU-rand_chacha.4f5a5caa62e58b10-cgu.3______     0    87     3   298     3   575     3  1106     6  1718    15   187     3   452     0   688     9  2867    51.2     7.0    44.3     0.0
CGU-rand_chacha.4f5a5caa62e58b10-cgu.4______     0    64     8   192    37   182     8   537    73   892   216    96    32   146    43   405    93  2115    39.0     6.0    32.9     0.0
CGU-time.cd615b1b0ba1619c-cgu.00____________     0   123     8  1250     8   431    11  1755    23  5763    57   520     6  1507     0  2200    28 10910   104.9     7.6    97.3     0.0
CGU-time.cd615b1b0ba1619c-cgu.01____________     0   125     3   761     3   270     9   898    30  3166    33   517     0   532     3  1253    15  7416    64.2     6.3    57.9     0.0
CGU-time.cd615b1b0ba1619c-cgu.02____________     0    58     6   812     6   183    12  1219    35  3652    53   356     1   791     3  1345    27  7154    45.9     5.7    40.2     0.0
CGU-time.cd615b1b0ba1619c-cgu.03____________     0    42     5   608     5   184    11  1081    34  3228    48   420     1   670     3  1141    24  5975    49.1     4.7    44.3     0.0
CGU-time.cd615b1b0ba1619c-cgu.04____________     0    93     2   384     2   176     2   475     2  1227     6   253     0   127     0   544     4  3714    42.1     4.1    38.0     0.0
CGU-time.cd615b1b0ba1619c-cgu.05____________     0    68     4   339     4   101     8   404    21  1277    35   159     0   266     2   571    18  3037    37.9     3.4    34.5     0.0
CGU-time.cd615b1b0ba1619c-cgu.06____________     0    50     0   280     0    64     0   309     0   733     0    94     0   166     0   316     0  2336    32.5     2.8    29.7     0.0
